bacati,baciti
postavljati,postaviti
postići,postizati
stići,stizati
postojati,postati
postupati,postupiti
postupiti,postupati
posuditi,posuđivati
posustajati,posustati
posustati,posustajati
posuđivati,posuditi
posvetiti,posvećivati
posvećivati,posvetiti
potaknuti,poticati
potapati,potopiti
potegnuti,potezati
potezati,potegnuti
poticati,potaknuti
potkivati,potkovati
potkopati,potkopavati
potkopavati,potkopati
potkovati,potkivati
potkrijepiti,potkrepljivati
potkupiti,potkupljivati
potopiti,potapati
potpisati,potpisivati
potpisivati,potpisati
potplatiti,potplaćivati
potrajati,trajati
potražiti,tražiti
potrčati,trčati
potvrditi,potvrđivati
potvrđivati,potvrditi
povesti,povoditi
povezati,povezivati
povećati,povećavati
povećavati,povećati
povjeriti,povjeravati
povoditi,povesti
povratiti,povraćati
povrijediti,povređivati
povući,povlačiti
pozdraviti,pozdravljati
pozdravljati,pozdraviti
pozivati,pozvati
poznati,poznavati
poznavati,poznati
pozvati,pozivati
poći,polaziti
započeti,započinjati
početi,počinjati
počinjati,početi
poštedjeti,pošteđivati
pošumiti,pošumljivati
praskati,prasnuti
prasnuti,praskati
prdnuti,prdjeti
prebaciti,prebacivati
prebacivati,prebaciti
prebijati,prebiti
prebiti,prebijati
prebroditi,prebrođivati
predati,predavati
predavati,predati
predbaciti,predbacivati
predlagati,predložiti
predložiti,predlagati
predomisliti,predomišljati
predomišljati,predomisliti
predočiti,predočavati
predstavljati,predstaviti
predstaviti,predstavljati
predvidjeti,predviđati
predviđati,predvidjeti
pregraditi,pregrađivati
pregrijati,pregrijavati
prekaliti,prekaljivati
prekidati,prekinuti
prekinuti,prekidati
prekopati,prekopavati
prekopavati,prekopati
prekriti,prekrivati
prekršiti,prekršivati
preletjeti,prelijetati
prelijetati,preletjeti
prelistati,prelistavati
prelomiti,prelamati
premašiti,premašivati
premlatiti,premlaćivati
premotati,premotavati
prenijeti,prenositi
prenositi,prenijeti
prenoćiti,prenoćivati
preokrenuti,prekretati
preorati,preoravati
preostati,preostajati
preoteti,preotimati
prepasti,prepadati
prepisati,prepisivati
prepisivati,prepisati
preplatiti,preplaćivati
preplivati,preplivavati
prepoloviti,prepolovljivati
preporučiti,preporučivati
preporučivati,preporučiti
prepoznati,prepoznavati
prepričati,prepričavati
prepričavati,prepričati
prepustiti,prepuštati
prepuštati,prepustiti
preraditi,prerađivati
preračunati,preračunavati
preračunavati,preračunati
prerađivati,preraditi
prerezati,prerezivati
zajamčiti,jamčiti
prerušiti,prerušivati
presaditi,presađivati
presahnuti,presahnjivati
preseliti,preseljavati
presenetiti,presenećivati
presjeći,presijecati
preskakati,preskočiti
vješati,objesiti
slikati,naslikati
preskočiti,preskakati
preslikati,preslikavati
presoliti,presoljavati
presresti,presretati
prestati,prestajati
prestraviti,prestravljivati
presuditi,presuđivati
presvući,presvlačiti
pretjerati,pretjerivati
pretjerivati,pretjerati
pretopiti,pretapati
pretplatiti,pretplaćivati
pretpostaviti,pretpostavljati
pretpostavljati,pretpostaviti
pretražiti,pretraživati
oslabiti,slabiti
pretraživati,pretražiti
pretvarati,pretvoriti
pretvoriti,pretvarati
preuzeti,preuzimati
preuzimati,preuzeti
prevaliti,prevaljivati
prevesti,prevoditi
prevladati,prevladavati
prevladavati,prevladati
narediti,naređivati
prevoditi,prevesti
prevoziti,prevesti
posađivati,posaditi
prevrnuti,prevrtati
prevrtati,prevrnuti
prezirati,prezreti
prezreti,prezirati
preći,prelaziti
preštampati,preštampavati
preživjeti,preživljavati
preživljavati,preživjeti
pribaviti,pribavljati
pribijati,pribiti
pribiti,pribijati
približavati,približiti
približiti,približavati
pribrojati,pribrajati
pribrojiti,pribrajati
pridobiti,pridobijati
pridobivati,pridobiti
pridodati,pridodavati
pridonijeti,pridonositi
pridonositi,pridonijeti
pridružiti,pridruživati
pridržati,pridržavati
pridržavati,pridržati
prigovarati,prigovoriti
prigovoriti,prigovarati
prigušiti,prigušivati
prihvatiti,prihvaćati
prihvaćati,prihvatiti
prijaviti,prijavljivati
prikazati,prikazivati
prikazivati,prikazati
prikloniti,priklanjati
prikrasti,prikradati
prikriti,prikrivati
prikrivati,prikriti
prikupiti,prikupljati
prikupljati,prikupiti
prilagoditi,prilagođivati
prilagođavati,prilagoditi
prilagođivati,prilagoditi
izjenjivati,izmijeniti
